1A,M2A,M3A,M4A,M5A,M6A,M7A,M8A,M9A
M1X,M2X,M3X,M4X,M5X,M6X,M7X,M8X,M9X
Scarborough,Not assigned,Not assigned,Downtown Toronto,Downtown Toronto,Not assigned,Not assigned,Etobicoke,Not assigned
(Upper Rouge),,,(St. James Town / Cabbagetown),(First Canadian Place / Underground city),,,(The Kingsway / Montgomery Road / Old Mill North),
M1Y,M2Y,M3Y,M4Y,M5Y,M6Y,M7Y,M8Y,M9Y
Not assigned,Not assigned,Not assigned,Downtown Toronto,Not assigned,Not assigned,East Toronto,Etobicoke,Not assigned
,,,(Church and Wellesley),,,Business reply mailProcessing Centre,(Old Mill South / King's Mill Park / Sunnylea / Humber Bay / MimicoNE / The QueenswayEast / Royal York South East / Kingsway Park South East),
,,,,,,969 Eastern,,
,,,,,,(Enclave of M4L),,
M1Z,M2Z,M3Z,M4Z,M5Z,M6Z,M7Z,M8Z,M9Z
Not assigned,Not assigned,Not assigned,Not assigned,Not assigned,Not assigned,Not assigned,Etobicoke,Not assigned
,,,,,,,(Mimico NW / The Queensway West / South of Bloor / Kingsway Park South West / Royal York South West),
